City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,menaka,15.9182,2.4022,35.99,4,5,5.14,ML,1707744498
83,wailua homesteads,22.0669,-159.378,19.24,88,0,2.57,US,1707744498
84,point pedro,9.8167,80.2333,27.59,67,100,6.38,LK,1707744499
85,aasiaat,68.7098,-52.8699,-28.91,100,62,3.2,GL,1707744500
86,tamanrasset,22.785,5.5228,27.95,11,0,1.54,DZ,1707744500
87,margaret river,-33.95,115.0667,16.55,71,9,10.44,AU,1707744501
88,pisco,-13.7,-76.2167,25.03,78,40,1.54,PE,1707744501
89,isafjordur,66.0755,-23.124,2.02,69,75,9.26,IS,1707744502
90,hawaiian paradise park,19.5933,-154.9731,20.02,98,100,0.0,US,1707744503
91,puerto deseado,-47.7503,-65.8938,11.01,46,7,14.19,AR,1707744504
92,northam,51.0333,-4.2167,9.78,69,5,7.38,GB,1707744504
93,hithadhoo,-0.6,73.0833,26.77,85,100,7.27,MV,1707744505
94,remire-montjoly,4.9167,-52.2667,25.02,94,100,1.03,GF,1707744506
95,mil'kovo,55.6078,37.7956,-0.88,98,100,2.42,RU,1707744506
96,bikenibeu village,1.3673,173.1241,28.98,84,40,4.63,KI,1707744507
97,veinticinco de mayo,-35.4323,-60.1727,19.43,98,100,3.13,AR,1707744508
98,maluso,6.543,121.8753,27.56,74,100,0.13,PH,1707744508
99,mount isa,-20.7333,139.5,27.87,69,40,3.09,AU,1707744509
100,kumagunnam,13.1551,10.6342,35.74,4,0,4.34,NG,1707744509
101,tiksi,71.6872,128.8694,-32.91,100,100,1.17,RU,1707744510
102,la ferte-saint-aubin,47.7169,1.939,11.66,84,100,2.27,FR,1707744510
103,guanica,17.9716,-66.908,27.77,53,5,1.97,PR,1707744511
104,burang,30.25,81.1667,-12.66,71,100,2.51,CN,1707744512
105,puerto natales,-51.7236,-72.4875,13.25,50,40,8.75,CL,1707744512
106,san antonio de pale,-1.4014,5.6325,28.62,77,7,1.67,GQ,1707744513
107,kotabumi,-4.8333,104.9,25.66,87,37,2.25,ID,1707744513
108,saldanha,-33.0117,17.9442,28.03,80,45,6.07,ZA,1707744514
109,palikir - national government center,6.9248,158.1611,27.41,78,100,2.57,FM,1707744515
110,ribeira grande,38.5167,-28.7,17.22,82,40,9.26,PT,1707744515
111,ilhabela,-23.7781,-45.3581,33.3,48,18,0.96,BR,1707744516
112,alice springs,-23.7,133.8833,24.75,78,40,3.09,AU,1707744516
113,labinsk,44.6342,40.7356,14.97,47,100,3.18,RU,1707744517
114,sitka,57.0531,-135.33,2.94,87,20,1.54,US,1707744518
115,ciudad lazaro cardenas,17.9583,-102.2,21.76,84,85,2.64,MX,1707744402
116,west island,-12.1568,96.8225,28.99,74,40,5.14,CC,1707744519
117,iqaluit,63.7506,-68.5145,-30.15,67,40,1.03,CA,1707744519
118,ilulissat,69.2167,-51.1,-19.99,45,40,2.06,GL,1707744520
119,zindah jan,34.3426,61.7468,16.88,23,0,4.39,AF,1707744520
120,tazacorte,28.629,-17.9293,22.3,80,20,3.09,ES,1707744521
121,igrim,63.1906,64.4162,-28.18,99,6,0.68,RU,1707744522
122,sinabang,2.4803,96.3801,27.62,75,0,1.58,ID,1707744522
123,puerto san jose,13.9256,-90.8244,23.1,69,5,2.21,GT,1707744523
124,lompoc,34.6391,-120.4579,10.51,87,0,3.09,US,1707744224
125,antofagasta,-23.65,-70.4,22.6,78,100,2.01,CL,1707744427
126,fale old settlement,-9.3852,-171.2468,28.41,82,100,11.12,TK,1707744524
127,rocky mountain house,52.3668,-114.9188,-1.94,93,100,4.12,CA,1707744525
128,laguna,38.421,-121.4238,6.63,91,0,0.0,US,1707744526
129,barcelos,41.5388,-8.6151,16.08,75,100,1.92,PT,1707744526
130,brisas de zicatela,15.8369,-97.0419,21.29,88,0,2.57,MX,1707744527
131,airali,44.767,7.3219,12.73,60,100,1.51,IT,1707744527
132,hadibu,12.65,54.0333,27.01,68,19,3.75,YE,1707744528
133,kanevskaya,46.0849,38.9596,14.55,62,100,3.19,RU,1707744530
134,nadi,-17.8,177.4167,28.0,94,75,2.06,FJ,1707744531
135,arraial do cabo,-22.9661,-42.0278,30.98,58,0,7.2,BR,1707744531
136,okhotsk,59.3833,143.3,-30.21,99,45,2.26,RU,1707744532
137,lakhdenpokh'ya,61.5198,30.1992,-11.81,77,2,2.11,RU,1707744533
138,tawau,4.2498,117.8871,27.07,79,100,2.78,MY,1707744533
139,invercargill,-46.4,168.35,10.57,84,30,1.79,NZ,1707744534
140,cabo san lucas,22.8909,-109.9124,16.4,76,0,2.57,MX,1707744353
141,loudi,27.7344,111.9944,12.37,74,100,0.42,CN,1707744535
142,el abiodh sidi cheikh,32.893,0.5484,22.81,26,0,10.77,DZ,1707744536
143,mount darwin,-16.7725,31.5838,27.79,51,99,5.11,ZW,1707744536
144,fort bragg,35.139,-79.006,16.06,95,100,0.45,US,1707744537
145,dzhalagash,45.0833,64.6667,-0.59,44,98,4.18,KZ,1707744538
146,vernon,50.2581,-119.2691,2.94,93,100,0.51,CA,1707744538
147,paragominas,-2.9667,-47.4833,25.28,95,99,1.19,BR,1707744539
148,black point,-34.6187,137.8972,22.52,66,1,5.73,AU,1707744539
149,gornozavodsk,58.3758,58.3211,-14.71,96,100,2.4,RU,1707744540
150,hasaki,35.7333,140.8333,4.05,45,1,3.08,JP,1707744541
151,horta,38.5333,-28.6333,16.8,89,40,9.26,PT,1707744541
152,ust-nera,64.5667,143.2,-38.41,96,44,0.9,RU,1707744542
153,itaituba,-4.2761,-55.9836,27.09,83,75,1.54,BR,1707744543
154,rio grande,-32.035,-52.0986,28.86,67,4,4.34,BR,1707744362
155,visby,57.6409,18.296,0.58,100,100,8.23,SE,1707744426
156,kodiak,57.79,-152.4072,2.73,87,100,10.29,US,1707744295
157,nova vicosa,-17.8919,-39.3719,29.17,65,19,3.12,BR,1707744545
158,pontianak,-0.0333,109.3333,26.99,94,75,1.54,ID,1707744546
159,lihue,21.9789,-159.3672,19.58,88,0,2.57,US,1707744546
160,camacupa,-12.0167,17.4833,28.21,45,8,1.34,AO,1707744547
161,codrington,-38.2667,141.9667,15.95,92,0,2.29,AU,1707744547
162,alofi,-19.0595,-169.9187,25.94,94,100,3.6,NU,1707744548
163,severo-yeniseyskiy,60.3725,93.0408,-21.44,96,100,3.31,RU,1707744549
164,monte maiz,-33.2046,-62.6008,22.07,97,100,5.45,AR,1707744549
165,nuuk,64.1835,-51.7216,-12.66,72,40,6.17,GL,1707744360
166,constantia,44.1833,28.65,16.5,72,100,10.26,RO,1707744550
167,kingston,17.997,-76.7936,26.53,74,20,7.2,JM,1707744521
168,utrik,11.2278,169.8474,26.26,77,100,9.6,MH,1707744552
169,afaahiti,-17.75,-149.2833,25.93,90,100,4.85,PF,1707744552
170,hastings,50.8552,0.5729,11.62,69,0,5.82,GB,1707744283
171,trinidad,-14.8333,-64.9,26.99,89,75,2.06,BO,1707744553
172,lospalos,-8.5186,127.0025,24.46,89,100,5.86,TL,1707744554
173,puerto baquerizo moreno,-0.9,-89.6,26.13,83,38,3.0,EC,1707744555
174,khandyga,62.6667,135.6,-28.99,92,100,1.29,RU,1707744555
175,xining,36.6167,101.7667,1.07,29,7,0.93,CN,1707744556
176,nova sintra,14.8667,-24.7167,20.3,79,0,7.2,CV,1707744556
177,ljusdal,61.8288,16.0913,-8.21,92,100,4.27,SE,1707744557
178,mmabatho,-25.85,25.6333,29.98,39,40,3.09,ZA,1707744558
179,yorkton,51.2167,-102.4677,-9.09,92,0,5.14,CA,1707744558
